Time,Action Type,Player Hand,Board,Cards Action,Wrong Actions,Reward,Score,Roles,Round Number,Player,Players Status
2020-02-29_19:15:27.864102,DEAL,"[11, 11, 5, 7, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12]_[11, 3, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11]_[3, 3, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 1, 4, 11, 11, 11]_[2, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 9, 10, 10, 10, 2]",,,,,,,,,
2020-02-29_19:15:27.864432,ROLE_CHANGE,"[11, 11, 5, 7, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12]_[11, 3, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11]_[3, 3, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 1, 4, 11, 11, 11]_[2, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 9, 10, 10, 10, 2]",,"DinnerServed_0_[1, 4]_2_11_[11, 11]",,,"[[3, 0, 2, 1], [3, 0, 1, 2], [3, 2, 0, 1], [2, 3, 0, 1], [2, 1, 3, 0], [2, 1, 3, 0], [2, 3, 0, 1], [2, 3, 1, 0]]","[2, 3, 1, 0]",,,
2020-02-29_19:15:28.281906,DISCARD,"[11, 11, 5, 7, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12]_[11, 3, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11]_[0, 1, 3, 3, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[2, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 9, 10, 10, 10, 2]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[11],270,0.1,[],"[2, 3, 1, 0]",0,2,"__('Discard: ', [11])_"
2020-02-29_19:15:28.416976,DISCARD,"[11, 11, 5, 7, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12]_[11, 3, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11]_[0, 1, 3, 3, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 2, 2, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[9],33,0.1,[],"[2, 3, 1, 0]",0,3,"__('Discard: ', [11])_('Discard: ', [9])"
2020-02-29_19:15:28.669857,DISCARD,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[11, 3, 6, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11]_[0, 1, 3, 3, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 2, 2, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[8],138,0.1,[],"[2, 3, 1, 0]",0,0,"('Discard: ', [8])__('Discard: ', [11])_('Discard: ', [9])"
2020-02-29_19:15:29.099278,DISCARD,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 1, 3, 3, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 2, 2, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6]",183,0.1,[],"[2, 3, 1, 0]",0,1,"('Discard: ', [8])_('Discard: ', [6, 6])_('Discard: ', [11])_('Discard: ', [9])"
2020-02-29_19:15:29.524249,DISCARD,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 2, 2, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 3]",255,0.1,[],"[2, 3, 1, 0]",1,2,"('Discard: ', [8])_('Discard: ', [6, 6])_('Discard: ', [3, 3])_('Discard: ', [9])"
2020-02-29_19:15:29.954762,DISCARD,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2]",313,0.1,[],"[2, 3, 1, 0]",1,3,"('Discard: ', [8])_('Discard: ', [6, 6])_('Discard: ', [3, 3])_('Discard: ', [2, 2])"
2020-02-29_19:15:30.016833,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",1,0,"Pass_('Discard: ', [6, 6])_('Discard: ', [3, 3])_('Discard: ', [2, 2])"
2020-02-29_19:15:30.374003,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,267,0.1,[],"[2, 3, 1, 0]",1,1,"Pass_Pass_('Discard: ', [3, 3])_('Discard: ', [2, 2])"
2020-02-29_19:15:30.516383,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,54,0.1,[],"[2, 3, 1, 0]",2,2,"Pass_Pass_Pass_('Discard: ', [2, 2])"
2020-02-29_19:15:30.772363,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,171,0.1,[],"[2, 3, 1, 0]",2,3,Pass_Pass_Pass_Pass
2020-02-29_19:15:30.793195,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",2,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:30.891001,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5,0.1,[],"[2, 3, 1, 0]",2,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:30.891145,PIZZA_READY,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 4, 4, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",3,,Pass_Pass_Pass_Pass
2020-02-29_19:15:30.991556,DISCARD,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4]",5,0.1,[],"[2, 3, 1, 0]",3,3,"Pass_Pass_Pass_('Discard: ', [4, 4])"
